<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;D;20110729;000000;82.8500000;83.3000000;82.2700000;82.6300000;15674700
SBERP;D;20110801;000000;84.0000000;84.9000000;82.9500000;83.3400000;19624900
SBERP;D;20110802;000000;82.9900000;83.3000000;81.4000000;81.8000000;21867500
SBERP;D;20110803;000000;80.7300000;81.2800000;78.8000000;79.1000000;33089100
SBERP;D;20110804;000000;79.5900000;80.5500000;78.1000000;78.4900000;33512100
SBERP;D;20110805;000000;76.9700000;79.2700000;74.5300000;76.1000000;46356500
SBERP;D;20110808;000000;74.2500000;75.4100000;71.5000000;71.9400000;36519700
SBERP;D;20110809;000000;69.9900000;74.5300000;65.0000000;73.1700000;58722200
SBERP;D;20110810;000000;75.1100000;75.3600000;68.8000000;69.6500000;37647800
SBERP;D;20110811;000000;70.8500000;71.9800000;66.3000000;70.2200000;33523400
SBERP;D;20110812;000000;71.0500000;72.3400000;68.6300000;71.0400000;28115300
SBERP;D;20110815;000000;71.8900000;73.8900000;70.7500000;73.5000000;17643100
SBERP;D;20110816;000000;72.9000000;72.9500000;70.0500000;71.5000000;19112000
SBERP;D;20110817;000000;71.7700000;72.9700000;70.4000000;72.4800000;15709700
SBERP;D;20110818;000000;71.1000000;71.8000000;68.1500000;68.3100000;24357000
SBERP;D;20110819;000000;67.5000000;67.6500000;64.1700000;66.0200000;35742200
SBERP;D;20110822;000000;65.6600000;68.3700000;64.1800000;67.0000000;22303400
SBERP;D;20110823;000000;68.0000000;68.5800000;65.0200000;66.2400000;20000900
SBERP;D;20110824;000000;66.3400000;66.7600000;65.0100000;65.5000000;27780000
SBERP;D;20110825;000000;65.9000000;67.8000000;65.4000000;65.6900000;30367100
SBERP;D;20110826;000000;66.1200000;66.5000000;64.3800000;65.1500000;19147400
SBERP;D;20110829;000000;66.3400000;68.4400000;66.1000000;68.4100000;18720800
SBERP;D;20110830;000000;68.7500000;69.4300000;67.9300000;68.6000000;28886600
SBERP;D;20110831;000000;68.9400000;71.5600000;68.8300000;71.0000000;24951300
SBERP;D;20110901;000000;71.0000000;71.4400000;69.3000000;70.9000000;19439200
SBERP;D;20110902;000000;70.1000000;70.3400000;69.0400000;69.2200000;14110900
SBERP;D;20110905;000000;68.4000000;68.5000000;67.1500000;67.1600000;17063900
SBERP;D;20110906;000000;66.9600000;68.2900000;66.7600000;67.8800000;16074400
SBERP;D;20110907;000000;68.5500000;70.9500000;68.5400000;70.7000000;19856800
SBERP;D;20110908;000000;70.9500000;71.9300000;70.0500000;71.6000000;23306700
SBERP;D;20110909;000000;71.1000000;71.3000000;69.1000000;69.4900000;22840200
SBERP;D;20110912;000000;68.3500000;68.3600000;65.8900000;66.5800000;30244900
SBERP;D;20110913;000000;66.9900000;67.5000000;65.6200000;66.0600000;34730300
SBERP;D;20110914;000000;65.4100000;66.7000000;65.0800000;65.3100000;21453200
