<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20160311;000000;70.7020000;70.8550000;69.4570000;69.9000000;1773864000
USD000000TOD;D;20160314;000000;69.6740000;70.9580000;69.6740000;70.7410000;1515203000
USD000000TOD;D;20160315;000000;70.5110000;71.3800000;70.2750000;71.0000000;2089887000
USD000000TOD;D;20160316;000000;70.7550000;71.2280000;70.3990000;70.4700000;1642790000
USD000000TOD;D;20160317;000000;69.1500000;69.2440000;68.0250000;68.4100000;2166833000
USD000000TOD;D;20160318;000000;67.9000000;68.6760000;67.2140000;67.4750000;1629623000
USD000000TOD;D;20160321;000000;68.6800000;69.1280000;67.4630000;67.6900000;1456228000
USD000000TOD;D;20160322;000000;67.7000000;68.2490000;67.3920000;67.8790000;1536344000
USD000000TOD;D;20160323;000000;67.6490000;68.2120000;67.4000000;68.0790000;1652526000
USD000000TOD;D;20160324;000000;68.7600000;69.6430000;68.6400000;69.4500000;2319199000
USD000000TOD;D;20160325;000000;68.5400000;68.7360000;67.7730000;68.1390000;1304065000
USD000000TOD;D;20160328;000000;67.8880000;68.3890000;67.5700000;68.3500000;1198935000
USD000000TOD;D;20160329;000000;68.8880000;69.0220000;68.4170000;68.9150000;2001847000
USD000000TOD;D;20160330;000000;68.0500000;68.0840000;67.2000000;67.5380000;1808494000
USD000000TOD;D;20160331;000000;68.0400000;68.0400000;66.6900000;66.8000000;2837685000
USD000000TOD;D;20160401;000000;66.9500000;68.2990000;66.7320000;68.0390000;1713053000
USD000000TOD;D;20160404;000000;68.1930000;68.8900000;67.7230000;68.0580000;1413186000
USD000000TOD;D;20160405;000000;68.9500000;69.4620000;68.5700000;69.3800000;1681054000
USD000000TOD;D;20160406;000000;68.4630000;68.8450000;68.2990000;68.7140000;1032934000
USD000000TOD;D;20160407;000000;67.4730000;68.1200000;67.4550000;67.9770000;1489870000
USD000000TOD;D;20160408;000000;67.7500000;67.8960000;66.9060000;66.9560000;1611995000
USD000000TOD;D;20160411;000000;66.9720000;67.3480000;66.4000000;66.5700000;1244163000
USD000000TOD;D;20160412;000000;66.5500000;66.6210000;66.0230000;66.1500000;1299398000
USD000000TOD;D;20160413;000000;65.9780000;66.1160000;65.2130000;65.6360000;1775893000
USD000000TOD;D;20160414;000000;66.4000000;66.6280000;65.7500000;66.1150000;1676419000
USD000000TOD;D;20160415;000000;66.2620000;66.5560000;65.8150000;66.4770000;1342685000
USD000000TOD;D;20160418;000000;68.0000000;68.8690000;66.6500000;66.7100000;1903158000
USD000000TOD;D;20160419;000000;65.8630000;66.0630000;65.3640000;65.4550000;1679225000
USD000000TOD;D;20160420;000000;66.4890000;66.5510000;65.4640000;66.0550000;1525932000
USD000000TOD;D;20160421;000000;64.8500000;66.0310000;64.6240000;65.8400000;1506352000
USD000000TOD;D;20160422;000000;66.0460000;66.4210000;65.4930000;65.6400000;1675307000
USD000000TOD;D;20160425;000000;66.3500000;66.8460000;65.8600000;66.5290000;1799351000
USD000000TOD;D;20160426;000000;66.6140000;66.7100000;65.8410000;65.9200000;1311767000
USD000000TOD;D;20160427;000000;65.4000000;65.5700000;64.9510000;65.4600000;1388351000
USD000000TOD;D;20160428;000000;65.1400000;65.3090000;64.4130000;64.6800000;1732962000
USD000000TOD;D;20160429;000000;64.2770000;64.5690000;63.8910000;64.3300000;1641708000
USD000000TOD;D;20160504;000000;66.6830000;66.7260000;65.7090000;66.1000000;1401929000
USD000000TOD;D;20160505;000000;66.0500000;66.1600000;65.1710000;65.5200000;1234295000
USD000000TOD;D;20160506;000000;66.1010000;66.5400000;65.5090000;65.6100000;1234947000
USD000000TOD;D;20160510;000000;66.2690000;66.6560000;66.0600000;66.3330000;987202000
USD000000TOD;D;20160511;000000;66.2000000;66.3600000;65.6140000;65.8370000;1088278000
USD000000TOD;D;20160512;000000;64.8610000;65.1400000;64.5400000;64.9800000;1106211000
