<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;20120618;000000;5270.0000000;5300.0000000;5220.0000000;5294.0000000;285764
GMKN;D;20120619;000000;5275.0000000;5389.0000000;5262.0000000;5321.0000000;337022
GMKN;D;20120620;000000;5337.0000000;5342.0000000;5242.0000000;5299.0000000;184816
GMKN;D;20120621;000000;5256.0000000;5333.0000000;5176.0000000;5239.0000000;244611
GMKN;D;20120622;000000;5150.0000000;5272.0000000;5145.0000000;5241.0000000;221319
GMKN;D;20120625;000000;5238.0000000;5264.0000000;5162.0000000;5218.0000000;192035
GMKN;D;20120626;000000;5218.0000000;5340.0000000;5218.0000000;5299.0000000;274130
GMKN;D;20120627;000000;5319.0000000;5425.0000000;5306.0000000;5403.0000000;343435
GMKN;D;20120628;000000;5413.0000000;5423.0000000;5341.0000000;5346.0000000;408655
GMKN;D;20120629;000000;5380.0000000;5454.0000000;5376.0000000;5376.0000000;375250
GMKN;D;20120702;000000;5379.0000000;5454.0000000;5355.0000000;5392.0000000;220328
GMKN;D;20120703;000000;5429.0000000;5479.0000000;5367.0000000;5375.0000000;374804
GMKN;D;20120704;000000;5389.0000000;5394.0000000;5316.0000000;5342.0000000;214536
GMKN;D;20120705;000000;5334.0000000;5410.0000000;5275.0000000;5347.0000000;308184
GMKN;D;20120706;000000;5332.0000000;5379.0000000;5252.0000000;5335.0000000;214302
GMKN;D;20120709;000000;5337.0000000;5356.0000000;5278.0000000;5299.0000000;158695
GMKN;D;20120710;000000;5293.0000000;5344.0000000;5265.0000000;5288.0000000;170262
GMKN;D;20120711;000000;5280.0000000;5286.0000000;5186.0000000;5213.0000000;205594
GMKN;D;20120712;000000;5235.0000000;5294.0000000;5176.0000000;5264.0000000;209668
GMKN;D;20120713;000000;5305.0000000;5350.0000000;5271.0000000;5297.0000000;194400
GMKN;D;20120716;000000;5320.0000000;5321.0000000;5210.0000000;5237.0000000;212121
